股票代號,股票名稱,今日股數,持股權重,ETF代號
2330,台灣積體電路,9770.0,9.77,00981A
2454,聯發科,9260.0,9.26,00981A
3037,欣興,8200.0,8.2,00981A
2383,台光電,8090.0,8.09,00981A
3017,奇鋐,7210.0,7.21,00981A
3653,健策,5960.0,5.96,00981A
6,國巨*,4950.0,4.95,00981A
2308,台達電,4820.0,4.82,00981A
6223,旺矽,4660.0,4.66,00981A
2303,聯電,4620.0,4.62,00981A
