股票代號,股票名稱,今日股數,持股權重,ETF代號
2330,台灣積體電路,14780.0,14.78,00991A
1,國巨股份,6430.0,6.43,00991A
2303,聯電,6260.0,6.26,00991A
2383,台光電,6230.0,6.23,00991A
3037,欣興,5280.0,5.28,00991A
2408,南亞科,5170.0,5.17,00991A
2454,聯發科,4510.0,4.51,00991A
3017,奇鋐,4140.0,4.14,00991A
2345,智邦,3840.0,3.84,00991A
2308,台達電,3790.0,3.79,00991A
