股票代號,股票名稱,今日股數,持股權重,ETF代號
2330,台灣積體電路,9320.0,9.32,00996A
2454,聯發科,7330.0,7.33,00996A
2308,台達電,5440.0,5.44,00996A
3,臻鼎-KY,5440.0,5.44,00996A
4,國巨,5060.0,5.06,00996A
3443,創意,4650.0,4.65,00996A
6,精測,4590.0,4.59,00996A
2383,台光電,4250.0,4.25,00996A
8,台表科,3490.0,3.49,00996A
3653,健策,3430.0,3.43,00996A
