股票代號,股票名稱,今日股數,持股權重,ETF代號
3017,奇鋐,8450.0,8.45,00992A
3037,欣興,6980.0,6.98,00992A
2330,台灣積體電路,6560.0,6.56,00992A
3665,貿聯,6450.0,6.45,00992A
2059,川湖,6010.0,6.01,00992A
5,高力,5920.0,5.92,00992A
2383,台光電,5580.0,5.58,00992A
2345,智邦,4970.0,4.97,00992A
6223,旺矽,4420.0,4.42,00992A
3008,大立光,4350.0,4.35,00992A
