股票代號,股票名稱,今日股數,持股權重,ETF代號
2330,台灣積體電路,8770.0,8.77,00982A
2454,聯發科,7680.0,7.68,00982A
2,穩懋,5660.0,5.66,00982A
3,亞翔,5500.0,5.5,00982A
2059,川湖,4370.0,4.37,00982A
6669,緯穎,4250.0,4.25,00982A
6,愛普*,4000.0,4.0,00982A
2360,致茂,3690.0,3.69,00982A
8,昇達科,3620.0,3.62,00982A
6223,旺矽,3220.0,3.22,00982A
