股票代號,股票名稱,今日股數,持股權重,ETF代號
2603,長榮,3710.0,3.71,00984A
2330,台灣積體電路,3580.0,3.58,00984A
2379,瑞昱,2760.0,2.76,00984A
3045,台灣大,2740.0,2.74,00984A
2408,南亞科,2580.0,2.58,00984A
2059,川湖,2510.0,2.51,00984A
6,上海商銀,2480.0,2.48,00984A
2603,長榮,2300.0,2.3,00984A
2408,南亞科,2260.0,2.26,00984A
9,亞翔工程,2220.0,2.22,00984A
