股票代號,股票名稱,今日股數,持股權重,ETF代號
2330,台灣積體電路,8660.0,8.66,00987A
3037,欣興,7640.0,7.64,00987A
3017,奇鋐,7180.0,7.18,00987A
2454,聯發科,6570.0,6.57,00987A
2383,台光電,5690.0,5.69,00987A
3443,創意,5630.0,5.63,00987A
3653,健策,4840.0,4.84,00987A
7,全新,4410.0,4.41,00987A
6274,台燿,4360.0,4.36,00987A
3665,貿聯,3550.0,3.55,00987A
