股票代號,股票名稱,今日股數,持股權重,ETF代號
2330,台灣積體電路,14180.0,14.18,00994A
2454,聯發科,7990.0,7.99,00994A
3017,奇鋐,7930.0,7.93,00994A
3037,欣興,6290.0,6.29,00994A
2383,台光電,5450.0,5.45,00994A
6223,旺矽,4660.0,4.66,00994A
6274,台燿,4450.0,4.45,00994A
3443,創意,4050.0,4.05,00994A
2059,川湖,3860.0,3.86,00994A
3653,健策,3730.0,3.73,00994A
