股票代號,股票名稱,今日股數,持股權重,ETF代號
2330,台灣積體電路,8750.0,8.75,00400A
2454,聯發科,7990.0,7.99,00400A
3653,健策,5230.0,5.23,00400A
2059,川湖,5190.0,5.19,00400A
3443,創意,5040.0,5.04,00400A
3037,欣興,4900.0,4.9,00400A
3017,奇鋐,4580.0,4.58,00400A
6223,旺矽,4410.0,4.41,00400A
2383,台光電,3920.0,3.92,00400A
2308,台達電,3910.0,3.91,00400A
