股票代號,股票名稱,今日股數,持股權重,ETF代號
2330,台灣積體電路,14780.0,14.78,00985A
1,日月光投資控股,4630.0,4.63,00985A
2412,中華電,4050.0,4.05,00985A
4904,遠傳,3910.0,3.91,00985A
2376,技嘉,3490.0,3.49,00985A
2454,聯發科,3320.0,3.32,00985A
2395,研華,3260.0,3.26,00985A
7,昇達科技,3060.0,3.06,00985A
2383,台光電,2940.0,2.94,00985A
2330,台灣積體電路,2570.0,2.57,00985A
